timestamp,count 
2021-03-17T15:30:00.000,8
2021-03-17T16:00:00.000,12
2021-03-17T16:30:00.000,11
2021-03-17T17:00:00.000,10
2021-03-17T17:30:00.000,8
2021-03-17T18:00:00.000,9
2021-03-17T18:30:00.000,7
2021-03-17T19:00:00.000,8
2021-03-17T19:30:00.000,14
2021-03-17T20:00:00.000,18
2021-03-17T20:30:00.000,8
2021-03-17T21:00:00.000,18
2021-03-17T21:30:00.000,11
2021-03-17T22:00:00.000,12
2021-03-17T22:30:00.000,10
2021-03-17T23:00:00.000,8
2021-03-17T23:30:00.000,14
2021-03-18T00:00:00.000,8
2021-03-18T00:30:00.000,13
2021-03-18T01:00:00.000,13
2021-03-18T01:30:00.000,6
2021-03-18T02:00:00.000,9
2021-03-18T02:30:00.000,6
2021-03-18T03:00:00.000,10
2021-03-18T03:30:00.000,10
2021-03-18T04:00:00.000,11
2021-03-18T04:30:00.000,7
2021-03-18T05:00:00.000,8
2021-03-18T05:30:00.000,7
2021-03-18T06:00:00.000,8
2021-03-18T06:30:00.000,8
2021-03-18T07:00:00.000,8
2021-03-18T07:30:00.000,9
2021-03-18T08:00:00.000,14
2021-03-18T08:30:00.000,6
2021-03-18T09:00:00.000,18
2021-03-18T09:30:00.000,10
2021-03-18T10:00:00.000,11
2021-03-18T10:30:00.000,7
2021-03-18T11:00:00.000,11
2021-03-18T11:30:00.000,12
2021-03-18T12:00:00.000,10
2021-03-18T12:30:00.000,8
2021-03-18T13:00:00.000,354
2021-03-18T13:30:00.000,1
